1396258463.047938, 580
1396258463.167028, 589
1396258463.286297, 599
1396258463.404688, 620
1396258463.524026, 630
1396258463.643479, 646
1396258463.762947, 654
1396258463.882333, 670
1396258464.001665, 695
1396258464.121660, 707
1396258464.241723, 723
1396258464.360905, 738
1396258464.481072, 757
1396258464.601232, 766
1396258464.721655, 779
1396258464.841986, 785
1396258464.961716, 803
1396258465.082002, 813
1396258465.201766, 822
1396258465.322402, 822
1396258465.443084, 825
1396258465.563661, 820
1396258465.683146, 814
1396258465.803016, 822
1396258465.922830, 813
1396258466.043373, 819
1396258466.163394, 819
1396258466.284047, 816
1396258466.404218, 813
1396258466.524927, 816
1396258466.645532, 825
1396258466.766202, 825
1396258466.886749, 822
1396258467.007197, 828
1396258467.127787, 819
1396258467.248562, 819
1396258467.369211, 828
1396258467.489168, 825
1396258467.609749, 831
1396258467.730528, 831
1396258467.851391, 825
1396258467.971954, 825
1396258468.092416, 825
1396258468.213136, 831
1396258468.333913, 825
1396258468.454718, 825
1396258468.575022, 831
1396258468.695495, 831
1396258468.816251, 828
1396258468.936972, 831
1396258469.057723, 834
1396258469.178031, 842
1396258469.298847, 842
1396258469.419082, 859
1396258469.539760, 872
1396258469.659899, 887
1396258469.780917, 900
1396258469.901959, 921
1396258470.023122, 934
1396258470.144394, 955
1396258470.265004, 974
1396258470.386549, 989
1396258470.508166, 1006
1396258470.629927, 1030
1396258470.751483, 1051
1396258470.872818, 1062
1396258470.993669, 1073
1396258471.115093, 1092
1396258471.237365, 1106
1396258471.358894, 1110
1396258471.479974, 1117
1396258471.601445, 1135
1396258471.723813, 1138
1396258471.846337, 1152
1396258471.969002, 1154
1396258472.091624, 1141
1396258472.214212, 1154
1396258472.336760, 1146
1396258472.458182, 1154
1396258472.580589, 1149
1396258472.703088, 1149
1396258472.825709, 1149
1396258472.948289, 1149
1396258473.070093, 1149
1396258473.191665, 1149
1396258473.314255, 1149
1396258473.436842, 1149
1396258473.558134, 1152
1396258473.680681, 1152
1396258473.803263, 1152
1396258473.925807, 1152
1396258474.048366, 1152
1396258474.170997, 1152
1396258474.292460, 1152
1396258474.414848, 1152
1396258474.537381, 1149
1396258474.659776, 1149
1396258474.781839, 1149
1396258474.903493, 1149
1396258475.026165, 1149
1396258475.148831, 1151
1396258475.271435, 1154
1396258475.393402, 1173
1396258475.515632, 1188
1396258475.638402, 1208
1396258475.760527, 1219
1396258475.883480, 1238
1396258476.006569, 1250
1396258476.129643, 1275
1396258476.253133, 1287
1396258476.376563, 1303
1396258476.499930, 1315
1396258476.623604, 1312
1396258476.747086, 1315
1396258476.870656, 1312
1396258476.993126, 1312
1396258477.115831, 1312
1396258477.239304, 1313
1396258477.362565, 1313
1396258477.486027, 1312
1396258477.608692, 1312
1396258477.732032, 1312
1396258477.855576, 1312
1396258477.979071, 1312
1396258478.102472, 1312
1396258478.225862, 1312
1396258478.349393, 1312
1396258478.472922, 1312
1396258478.596369, 1313
1396258478.719876, 1313
1396258478.843449, 1313
1396258478.967013, 1313
1396258479.090506, 1312
1396258479.213123, 1312
1396258479.336682, 1313
1396258479.458917, 1315
1396258479.581349, 1318
1396258479.704775, 1315
1396258479.828259, 1318
1396258479.951932, 1315
1396258480.075466, 1315
1396258480.198918, 1328
1396258480.322359, 1326
1396258480.445875, 1331
1396258480.569372, 1340
1396258480.692848, 1355
1396258480.816333, 1359
1396258480.940127, 1374
1396258481.063795, 1380
1396258481.187573, 1386
1396258481.311488, 1394
1396258481.435530, 1396
1396258481.558513, 1408
1396258481.682354, 1416
1396258481.805473, 1408
1396258481.929430, 1405
1396258482.053538, 1405
1396258482.177621, 1414
1396258482.301745, 1414
1396258482.424896, 1414
1396258482.548967, 1405
1396258482.673092, 1405
1396258482.797211, 1416
1396258482.921429, 1421
1396258483.045651, 1408
1396258483.169800, 1408
1396258483.293067, 1415
1396258483.416642, 1414
1396258483.540907, 1414
1396258483.664098, 1409
1396258483.788046, 1417
1396258483.912008, 1416
1396258484.035942, 1416
1396258484.159456, 1414
1396258484.283485, 1414
1396258484.406861, 1414
1396258484.530986, 1405
1396258484.655174, 1405
1396258484.779287, 1408
1396258484.903208, 1417
1396258485.027233, 1406
1396258485.151397, 1416
1396258485.274271, 1416
1396258485.398272, 1424
1396258485.522196, 1424
1396258485.646369, 1424
1396258485.770514, 1433
1396258485.893691, 1433
1396258486.016969, 1442
1396258486.141237, 1442
1396258486.264378, 1446
1396258486.387465, 1459
1396258486.511824, 1453
1396258486.636214, 1459
1396258486.760331, 1452
1396258486.884545, 1458
1396258487.008009, 1461
1396258487.132278, 1464
1396258487.255569, 1473
1396258487.379921, 1476
1396258487.503409, 1476
1396258487.627706, 1480
1396258487.752240, 1486
1396258487.876659, 1495
1396258488.000493, 1495
1396258488.124908, 1495
1396258488.249568, 1503
1396258488.374299, 1508
1396258488.498759, 1512
1396258488.623432, 1512
1396258488.748032, 1520
1396258488.872942, 1529
1396258488.997644, 1535
1396258489.122446, 1532
1396258489.246487, 1549
1396258489.371236, 1554
1396258489.495546, 1557
1396258489.619524, 1563
1396258489.744510, 1576
1396258489.869682, 1577
1396258489.994541, 1591
1396258490.119596, 1600
1396258490.244850, 1604
1396258490.370114, 1613
1396258490.495191, 1619
1396258490.620401, 1614
1396258490.745782, 1616
1396258490.870139, 1619
1396258490.995074, 1616
1396258491.120235, 1616
1396258491.245563, 1625
1396258491.370942, 1622
1396258491.496035, 1628
1396258491.621313, 1625
1396258491.746696, 1629
1396258491.871260, 1626
1396258491.996295, 1635
1396258492.121502, 1629
